,numero,ano,ementa,categoria_geral,sub_categoria
204,1217,2000,Dispõe a abertura de créditos especial e de outras providências correlatas.,dispõe,outra
205,1218,2000,Dispõe sobre a abertura de créditos suplementar e de providências correlatas.,dispõe,abertura
206,1219,2000,Estabelece as diretrizes orçamentarias para o exercício de 2001 e dá outras providências.,receitas e despesas,estabelece
207,1220,2000,"Altera dispositivo da lei n° 733, de 24 de março de 1977 e dá outras providências.",altera lei,-
208,1221,2000,Dispõe sobre a revisão do plano pluriaanual de investimentos para 2001 e dá outras providências.,dispõe,revisão
209,1222,2000,Cria o conselho e fundo municipal de turismo e dá outras providências.,cria,conselho
210,1223,2000,"Fixa os subsídios do prefeito, do vice-prefeito e dos secretários municipais do ipojuca - pe., para os exercícios de 2001 até 2004 e da próxima legislatura e dá outras providências.",receitas e despesas,fixa
211,1224,2000,Fixa o subsídio dos vereadores deste município para os exercícios de 2001 até 2004 e da próxima legislatura e dá outras providências.,receitas e despesas,fixa
212,1225,2000,"Altera dispositivo da lei n° 1158/98, de 30 de abril de 1998 e dá outras providências.",altera lei,-
213,1226,2000,Dispõe sobre a abertura de crédito suplementar e de providências correlatas.,dispõe,abertura
214,1227,2000,Estabelece o chancfélamento do ingressos para os eventos de diverges públicas e dá outras providências.,receitas e despesas,estabelece
215,1228,2000,Estabelece o subsfi|uto tributário do iss e dá outras providências.,receitas e despesas,estabelece
216,1229,2000,Acrescenta o inciso iii artigo 26 da lei 1.181/98 e dá outras providências.,outra,outra
217,1230,2000,"Altera dispositivos dos artigos 90 e 100 da lei 1.181/98, caracteriza, habitação popular e dá outras providências.",altera lei,-
218,1231,2000,"Converte, em moeaa\ vigente, os valores expressos, na legislação municipal e os efeitos dela decorrentes, em unidade fiscal de 0 referência - ufir e dá outras providencias.",outra,outra
219,1232,2000,Estima a receita e fixa despesas para o exercício financeiro de 2001.,receitas e despesas,estima
220,1233,2001,"Fixa o subsídio dos secretários municipais do ipojuca - pe., para os exercícios de 2001 até 2004 e dá outras providências.",receitas e despesas,fixa
221,1234,2001,"Define a estrutura e organização do poder executivo municipal, dispõe sobre a estrutura e competência das secretarias municipais, e dá outras providências.",outra,outra
222,1235,2001,Dispõe sobre a verba de apoio ao gabinete do vereador e dá outras providências.,dispõe,outra
223,1236,2001,"Dispõe sobre a estrutura organizacional e reestruturação do quadro de pessoal da câmara municipal de ipojuca - pe., revoga a lei n° 1.185/9s e dá outras providências.",dispõe,estrutura
224,1237,2001,Dispõe sobre a adequação da lei orçamentaria (lei n° 1232/2001) a nova estrutura administrativa do município (lei n° 1234/2001).,dispõe,outra
225,1238,2001,Cria o sistema de mliantamento e dá outras providências.,cria,outra
226,1239,2001,Reajusta vencimentos de servidores públicos municipal que percebam retribuição inferior ao salário mínimo vigente no país.,reajusta,outra
227,1240,2001,"Autoriza a contratação temporária de pessoal por excepcional interesse público para as funções que especifica, e dá outras providências.",autoriza poder executivo,outra
228,1241,2001,"Cria cargos de provimento efetivo na estrutura do poder executivo, e dá outras providências.",cria,cargos
229,1242,2001,"Autoriza destinação de recursos, para direta ou indiretamente, cobrir necessidades de pessoas físicas.",autoriza poder executivo,outra
230,1243,2001,Dispõe sobre a criação de cargo no quadro de pessoal do poder executivo municipal.,dispõe,criação
231,1244,2001,"Cria cargos de provimento efetivo na estrutura do poder executivo, e dá outras providencias.",cria,cargos
232,1245,2001,"Denomina de rodovia suzan cavell, a via pública de acesso às industrias neste município, no km 12 da pe-60.",denomina,outra
233,1246,2001,"Autoriza a contratação de professores alfabetizadores por prazo determinado, para atender a excepcional necessidade do serviço, e dá outras providências.",autoriza poder executivo,outra
234,1247,2001,Dispõe sobre a abertura de crédito suplementar e de providências correlatas.,dispõe,abertura
235,1248,2001,Desafeta imóvel de domínio público e dá outras providências.,desafeta,outra
236,1249,2001,"Autoriza o poder executivo, doar o imóvel que indica.",autoriza poder executivo,outra
237,1250,2001,"Denomina de quadra de esportes otávio da cunha ferreira, a quadra poliesportiva localizada na praça pedro serafim de souza, no distrito de camela, neste município de ipojuca.",denomina,outra
238,1251,2001,"Denomina de biblioteca pública municipal maria josé pinto, a biblioteca pública da praça afonso luiz soares, no distrito de camela, neste município de ipojuca.",denomina,outra
239,1252,2001,"Denomina de praça terezinha cavalcanti de albuquerque, a praça localizada na avenida dr. humberto da costa soares, em frente ao colégio min. jarbas passarinho, no distrito de camela, neste município de ipojuca.",denomina,outra
240,1253,2001,"Denomina de banda marcial maria josé ferreira de oliveira, a banda da escola ministro jarbas passarinho, no distrito de camela, neste município de ipojuca.",denomina,outra
241,1254,2001,"Denomina de biblioteca iranida albuquerque ramos, a biblioteca da escola municipal ministro jarbas passarinho, no distrito de camela, neste município de ipojuca.",denomina,outra
242,1255,2001,Cria o sistema municipal de ensino do ipojuca e dá outras providências,cria,outra
243,1256,2001,Altera a composição do conselho municipal de acompanhamento e controle social do fundo de manutenção e desenvolvimento do ensino fundamental e de valorização do magistério.,altera lei,-
244,1257,2001,"Autoriza o pbcfer executivo a declarar património municipal e imunes de corte as árvores consideradas de preservação necessária por sua localização, raridade, beleza ou condição de porta-sementes.",autoriza poder executivo,outra
245,1258,2001,Autoriza alienação de bens inservíveis e dá outras providências.,autoriza poder executivo,outra
246,1259,2001,Altera a composição do conselho municipal de assistência social - cmas.,altera lei,-
247,1260,2001,"Denomina de estádio de futebol severino ramos dos reis, o estádio de futebol localizado no loteamento santo antónio, no distrito de camela, neste município de ipojuca.",denomina,outra
248,1260,2001,Dispõe sobre abertura de~crédito suplementar e de providências correlatas v.,dispõe,outra
249,1261,2001,"Institui o programa de garantia de renda mínima vinculado à educação - bolsa escola, e determina outras providências.",institui,programa
250,1262,2001,Criação do conselho e fundo municipal dos direitos da pessoa portadora de deficiência.,outra,outra
251,1263,2001,Disciplina a concessão de incentivos fiscais aos agentes económicos e dá outras providências.,concede,outra
