numero,ano,ementa
1059,1994,Autoriza o chefe do poder executivo municipal a firmar acordo de pagamento de débitos junto ao inss
1060,1994,Reajusta os salários dos servidores municipais face o salário mínimo para fevereiro
1061,1994,Fixa o salário mínimo em urv e dá outras providências
1062,1994,Dá nova redação do art. 1 da lei 1048/93 de 05/08/1993 e acrescenta parágrafos
1063,1994,Autorizao poder executivo a alienar veículo imprestável para o uso
1064,1994,Cria o conselho municipal de defesa do meio ambiente - condema
1065,1994,Cria o conselho municipal de agricultura - cma
1066,1994,"Cria cargos efetivos, autorizando realização de concurso público para preenchimento e dá outras providências"
1067,1994,Autoriza o poder executivo a firmar convênio com o detram-pe
1068,1994,Reajusta os vencimentos de Contador e dá outras providências
1069,1994,"Cria o Conselho e o Fundo Municipal de Promoção do Direitos da Criança e do Adolescente do Município do Ipojuca, e dá outras providências."
1070,1994,Dispõe sobre as diretizes para a elaboração de orçamento do município para o exercício de 1195 e da outras providências
1071,1994,Autoriza o Poder Executivo a dar baixa do Patrimônio Municipal de sucatas de veículos acidentados.
1072,1994,"Cria a Secretaria de Administrao o Departamento Comunitáio e de Eventos, juntamente com o cargo comissionado de assessor"
1073,1994,Eleva os valores autorizados para abertura de crédito suplementares e dá outras providências
1074,1994,Cria plano de cargos e salários (plano de carreira) tranforma nomenclatura de cargos e da outras providências
1076,1995,Autoriza o poder executivo municipal a receber doção de imóveis com encargos
1077,1995,Concede isenção de ISS por dois anos ao empreendimento Intermares Village situado na praia Ponta de Serrambi deste municipio
1078,1995,Cria cargos de provimento efetivo para o concurso público e dá outras providências
1079,1995,Dispõeõe sobre aplicação da medida provisória n. 809/94 que concede abono aos trabalhadores no mês de janeiro de 1995
1080,1995,Autoriza o poder executivo a cancelar reajuste salarial do seu funcionalismo e da outras providências
1081,1995,"Autoriza o poder executivo a desafetar bens imóveis de uso especial, lotear área com a área remanescente do loteamento Ponta de Serrambi, e aliená-los atrevés de doação"
1082,1995,Fixa o valor do salário mínimo para os funcionários públicos do município a partir de 1 de maio do ano em curso.
1083,1995,Dispõe sobre a revalidação dos certames públicos realizados pelo Município de Ipojuca no exercício de 1990 e 1992 e dá outras providências
1084,1995,"Concede ajuda finaceira mensal aos ex prefeitos, Jaime Agostinho Lins e Luiz Manoel Nogueira"
1085,1995,Dispõe sobre as diretrizes para elaboração e execução do orçamento do município para o exercio de 1996 e outras providências
1086,1995,Cria cargos em comissão e autoriza o poder executivo a contratar pessoal temporário para suprir as deficiências da secretaria de saúde
1087,1995,"Dispõe sobre a reorganização do quadro de pessoal da Câmara Municipal de Ipojuca, estado de Pernambuco, cria cargos, fixa vencimentos e da outras providências"
1088,1995,"Dá nova redação aos Arts. 72. da Lei n. 1070/94, de 02/08/1994, e, Parágrafo Único, do Art. 11, da Lei n. 1085/95, de 16/06/1995"
1089,1995,"Autoriza o poder executivo municipal a permutar o lote 15, quadra m-3, ambos no loteamento enseada de serrambi, neste município"
1090,1995,"Atribui denominação a bem público municipal e da outras providências. Banda Marcial professora Maria José Ferreira de Oliveira, Banda Marcial da Escola Municipla Ministro Jarbas Passarinho do Distrito de Camela"
1091,1995,"Denomina rua José Hipolito Monteiro a rua atualmente denominada Primeira Travessa do Colégio Aderbal Jurema, na cidade de Ipojuca"
1092,1995,Denomina rua Theodomiro José Camargo Silva a rua atualmente denominada Segunada Travessa do Colégio Aderbal Jurema na cidade de Ipojuca
1093,1995,Denomina rua Mário Luiz Cavalcanti a atualmente denominada Travessa Antônio Bonifácio
1094,1995,"Atribui a bem público municipal e da outras providências, fica denominada Banda Marcial João Costa a Banda Marcial da Escola Municipal Maria das Dores do distrito de Nossa Senhora do Ó"
1095,1995,Dispõe sobre os feriados municipais (torna feriado municipal o dia de Corpos Criste)
1096,1995,"Declara ponto facultativo na rede escolar púlica municipal o dia 11 de agosto, dia do estudante"
1097,1995,Orça a receita e fixa despesas do município para o exercio de 1996
1098,1995,"Concede isenção do iss, imposto sobre serviços"
1099,1995,Concede pensão ao ex prefeito do município reconhecidamente pobres e da outras providências
1100,1995,Institui a gratificação de produtividade fiscal e doutras providências
1101,1995,"Cria cargos de provimento em comissão, fixa vencimentos através da atribuição de símbolos e dá outras providências"
1102,1995,Altera o art.2 da lei municipal 1046/93 e dá outras providências
1103,1996,Dispõe dispõe sobre créditos adicionais e dá outras providências.
1104,1996,Dispõe sobre a interveniência da Câmara municipal do Ipojuca em operações do crédito para os funcionários e Vereadores a dá outras providências.
1105,1996,Desafeta desafeta área pública e autoriza sua doação à paróquia de São Miguel.
1106,1996,Atribui atribui denominação a bem público e dá outras providências.
1107,1996,Atribui atribui denominação a bem público e dá outras providências.
1108,1996,Atribui atribui denominação a bem público e dá outras providências.
1109,1996,Atribui atribui denominação a bem público e dá outras providências
1110,1996,Atribui atribui denominação a bem público e dá outras providências.
1111,1996,Atribui atribui denominação a bem publico e da outras providências.
1112,1996,Atribui atribui denominação a bem publico e da outras providências.
1113,1996,Atribui atribui denominação a bem público e dá outras providências.
1114,1996,"Cria cargos de provimento em comissão, fixa vencimentos e dá outras providências."
1115,1996,Autoriza a abertura de Crédito Suplementar e dá outras providências.
1116,1996,Autoriza a abertura de Crédito Suplementar e dá outras providências.
1117,1996,Reajusta vencimentos dos Supervisores do Poder Legislativo Municipal do Ipojuca e dá outras providências.
1118,1996,Dispõe sobre as Diretrizes Orçamentárias do Município e sua execução em 1997 e dá outras providências.
1119,1996,Isenta os Recenseadores do IBGE do pagamento do ISS sobre seus ganhos.
1120,1996,Autoriza a abertura de Crédito Suplementar e dá outras providências.
1121,1996,Prorroga a isenção do ISS concedida ao HOTEL INTERMARES.
1122,1996,"Autoriza o Poder Executivo a doar à Telecomunicação de Pernambuco S/A - TELPE o Sistema Telefônico DDD/DDI, implantado na localidade de Porto de Galinhas, deste Município."
1123,1996,Dispõe sobre o percentual de repasse de Duodécimos à Câmara Municipal de Vereadores e dá outras providências.
1124,1996,"Cria cargos de provimento em comissão, fixa vencimentos através de atribuições de símbolos e dá outras providências correlatas."
1125,1996,Dispõe sobre a verba de apoio ao gabinete do vereador e dá outras providências.
1126,1997,Orça a Receita e fixa a Despesa do Município para o exercício de 1997.
1127,1997,"Cria cria a secretaria de turismo, seus cargos e as respectivas remunerações."
1128,1997,"Reorganiza, criando e extinguindo os cargos comissionados e organiza a tabela de vencimentos."
1129,1997,"Cria cria cargos de provimento em comissão, fixa vencimentos a_ través de atribuições de sim bolo e dá outras providencias."
1130,1997,Dispõe dispõe scbre a contratação temporária de pessoal e dá outras providencias.
1131,1997,Autoriza a abertura de crédito especial e dá outras providências.
1132,1997,Autoriza a abertura de Crédito Adicional Suplementar e dá outras providências.
1133,1997,Cria cargo comissionado e gratificação e dá outras providências.
1134,1997,Oferece incentivos sobre Divida Ativa Tributária e dá outras Providências.
1135,1997,"Cria Cargos Comissionados, no âmbito do Poder Executivo Municipal."
1136,1997,Estabelece estabelece as diretrizes orçamen tárias do nünicípio de tras providencias.
1137,1997,?
1138,1997,Institui institui o fundo municipal de saúde e dá outras providencias.
1139,1997,Cria o CONSELHO MUNICIPAL DE ASSISTÊNCIA SOCIAL - CMAS e dá outras providências.
1140,1997,Cria o FUNDO DE ASSISTÊNCIA SOCIAL e dá outras providencias.
1141,1997,Autoriza autoriza a concessão de subvenções e dá outras providencias.
1142,1997,Autoriza autoriza a abertura de crédito especial e dá outras providencias.
1143,1997,Altera classificação de cargos comissionados da secretaria de turismo e dá outras providencias.
1144,1997,"Autoriza o Poder Executivo a alienar ações da Petróleo Brasileiro S/A - PETROBRÁS, e dá outras providencias."
1145,1997,"Dispõe sobre a Contratação tempo determinado para atender às necessidades do plano diretor do "" AEDES AEGYPTI"" do Brasil PEAa - do Governo Federal, nos termos do inciso IX do Artigo 37 da Constituição Federal e dá outras providencias."
1146,1997,Autoriza autoriza alienação de bens inservíveis e dá outras providencias.
1147,1997,Altera altera a lei n° 1.100/95 e dá outras providencias.
1148,1997,Altera vantagens dos professores do Ensino de 1°. Grau da rede Municipal e dá outras providências.
1149,1997,Estima a Receita e Fixa a Despesa para o Exercício Financeiro de 1998.
1150,1997,Cria cria o conselho municipal de alimentação escolar e dá outras providencias.
1151,1997,"Concede concede isenção de imposto sobre serviços de qualquer natureza - iss, incidente sobre os serviços de construção civil do hotel summerville beach resort."
1152,1997,Dispõe dispõe sobre o plano plurianual de investimentos para o período de 1998 a 2001.
1153,1997,"Revoga revoga os artigds 3°. e 4°. da lei n° l .011, de 27 de dezembro de 1991, e dá outras providencias."
1154,1997,Dota dota de nomes as avenidas e ruas do loteamento praia ponta de serrambi e dá outras providências.
1155,1997,"Autoriza o Poder Executivo Municipal a efetuar a Concessão de Direito Real de Uso, de 32 (trinta e duas) casas, recentemente construídas no Bairro de Rurópolis."
1156,1997,Autoriza o Poder Executivo a firmar acordo de Parcelamento de Dívida para com o Fundo de Garantia do Tempo de Serviço.
1157,1998,Abre Crédito Especial e dá Outras Providencias.
1158,1998,"Dispõe sobre o Programa Municipal e Agentes Comunitários de Saúde sua estrutura e funcionamento, e dá outras providências."
1159,1998,Concede concede redução de juros de mora e de multas na forma em que dispõe e dá outras providencias.
1160,1998,Dispõe dispõe sobre a criação do conselho municipal de acompanhamento e controle social do fundo de manu -tenção e desenvolvimento do ensino fundamental é de valorização do magistério.
1161,1998,Autoriza abertura de Crédito Adicional Especial e dá outras providencias.
1162,1998,"Concede redução da alíquota de Imposto Sobre Serviços de qualquer natureza ISS, a Empresa Suape e dá outras providencias."
1163,1998,"Cria cargos de provimento efetivo na na estrutura do Poder Executivo, e dá outras providencias."
1164,1998,Autoriza autoriza abertura de crédito adicional especial e dá outras providencias.
1165,1998,Dispõe dispõe sobre a contratação temporária de pessoal e dá outras providencias.
1166,1998,Altera altera simbologia de cargo de provimento em comissão e dá outras providencias.
1167,1998,"Dota dota de nomes as ruas e avenidas do loteamento santo antônio no distrito de camela, neste município e dá outras providencias."
1168,1998,Estabelece estabelece as diretrizes orçamentárias do município de ipojuca paia o exerci -cio de 1999 e dá outras providencias.
1169,1998,Dispõe sobre a destinação do Lixo Urbano: a sua reciclagem pela Cooperativa Agro-Industrial de Reciclagem de Lixo de Ipojuca LTDA.
1170,1998,Autoriza autoriza a abertura de crédito adicional suplementar e dá outras providencias.
1171,1998,Autoriza autoriza a abertura de crédito adicional suplementar e dá outras providências.
1172,1998,Autoriza a abertura de Crédito Adicional Suplementar e dá outras providências.
1173,1998,Concede abono provisório aos servidores municipais do Grupo Magistério e dá outras providencias.
1174,1998,"Concede isenção de Imposto Sobre Serviço de Qualquer Natureza - ISS, incidente sobre a Construção Civil da Unidade Fabril da Empresa FORTILIT e dá outras providencias."
1175,1998,"Altera altera dispositivo da lei n° 737, de 18 de maio de 1977 e dá outras providencias."
1176,1998,"Cria cria cargo em comissão no âmbito da secretaria de educação, cultura e esportes e dá outras providencias."
1177,1998,Denomina artéria pública e dá outras providências.
1178,1998,
1179,1998,
1180,1998,
1181,1998,Institui o Código Tributário do Município do Ipojuca e dá outras providências.
1182,1999,Dispõe sobre a criação dos Conselhos Tutelares no Estatuto da Criança e do Adolescente e dá. outras providências.
1183,1999,Fixa fixa o subsídio dos vereadores deste município para os exercícios de 1999 a 2000 da presente legislatura e dá outras providências.
1184,1999,"Fixa fixa os subsídios do prefeito, do viceprefeito e dos secretários municipais do ipojuca-pe, para os exercícios de 1999 e 2000 da presente legislatura e dá outras providências."
1185,1999,"Dispõe dispõe sobre a reorganização do quadro de pessoal da câmara municipal de ipojuca-pe, extingue e cria cargos, fixa vencimentos e dá outras providências."
1186,1999,"Altera altera a redação do art. 2°, e seus § 1°, 2°, 3°, 4° e 5°; e os art. 7°. art. 10 e inciso vii do art. 11, da lei 1064/94."
1187,1999,Denomina denomina artéria pública e dá outras providências.
1188,1999,Dispõe dispõe sobre as diretrizes orçamentarias para o exercício de 2000 e dá outras providências.
1189,1999,Denomina denomina artéria pública e dá outras providências.
1190,1999,Adequa o Piso Salarial dos Funcionários Públicos do Município ao valor do Salário Mínimo e dá outras providências.
1191,1999,"Autoriza autoriza o poder executivo municipal a transformar em área de lazer, a área correspondente a rua projetada existente entre as quadras g-1 e g-2, do loteamento merepe ii, em porto de galinhas, neste município, e dá outras providências."
1192,1999,Desafeta desafeta imóvel de domínio público e dá outras providências.
1193,1999,"Autoriza autoriza os poderes executivo e legislativo do município do ipojuca, pernambuco, a custear despesas médico-hospitalares do prefeito, viceprefeito, vereadores, secretários municipais, com tratamento médico-hospitalar e dá outras providências."
1194,1999,?
1195,1999,Autoriza a Abertura de Crédito Adicional Suplementar e dá Outras Providências.
1196,1999,Dispõe sobre a abertura de CRÉDITO ESPECIAL e dá outras providências.
1197,1999,Institui institui o programa de garantia de renda mínima destinado às famílias carentes.
1198,1999,Institui institui a gratificação adicional de risco de vida e dá outras providência
1199,1999,"Reajusta os valores de vencimento dos servidores públicos civis do Poder cargos Executivo Municipal, exceto comissionados, e dá outras providências."
1200,1999,Estima a Reita e fixa a Despesa para o Exercício Financeiro de 2000.
1201,1999,Dispõe sobre a Revisão do Plano Plurianual de Investimentos para 2000 a 2001 e dá outras providências.
1202,1999,"Concede redução da alíquota de Imposto Sobre Serviço de qualquer natureza - ISS, a Empresa Suape - Complexo Industrial Portuário e dá outras providências."
1203,2000,"Dota dota de nomes, as alamedas e ruas do loteamento merepe, na praia de porto de galinhas, neste município, e dá outras providências."
1204,2000,"Dota de nomes, a Avenida paralela à Avenida Beira Mar e as Ruas do Loteamento Merepe II, na praia de Porto de Galinhas, neste Município, e dá outras providências."
1205,2000,Dispõe sobre abertura de Crédito Suplementar e dá providências correlatas.
1206,2000,"Autoriza ao Poder Executivo a afetar área de terreno, anteriormente desafetada, para destinação de uso especial em playground, quadra de esporte e área verde e dá outras providencias."
1207,2000,"Autoriza autoriza o poder executivo, doar área de terras, a igreja evangélica assembleia de deus."
1208,2000,"Altera altera e introduz acréscimo a dispositivo da lei n° 1182, de 12 de janeiro de 1999 e dá outras providências."
1209,2000,Cria a Diretoria Geral de Administração Tributária e dá outras providencias.
1210,2000,"Dispõe sobre a interveniência da Prefeitura em operações de Crédito, para os Servidores Públicos do Município e dá outras providências."
1211,2000,Altera altera o valor do salário mínimo e dá outras providência
1212,2000,Dispõe dispõe sobre abertura de crédito suplementar e dá outras providência
1213,2000,Dispõe dispõe sobre abertura de crédito especial e dá outras providência
1214,2000,"Autoriza o Poder Executivo, doar uma área de terra às pessoas que ali ocupam e estão cadastradas na Secretaria de Obras do Município e dá outras providências."
1215,2000,"Autoriza o Poder Executivo, fazer Contrato de Comodato de uma área de terras ao BANCO DO BRASIL S/A, e dá outras providências."
1216,2000,"Dota de nomes, as avenidas e ruas do Loteamento da Enseadinha de Serrambí e dá outras providências."
1217,2000,Dispõe a Abertura de Créditos Especial e de outras providências correlatas.
1218,2000,Dispõe sobre a Abertura de Créditos Suplementar e de providências correlatas.
1219,2000,Estabelece as DIRETRIZES ORÇAMENTARIAS para o exercício de 2001 e dá outras providências.
1220,2000,"Altera dispositivo da Lei n° 733, de 24 de março de 1977 e dá outras providências."
1221,2000,Dispõe sobre a Revisão do Plano Pluriaanual de Investimentos para 2001 e dá outras providências.
1222,2000,Cria cria o conselho e fundo municipal de turismo e dá outras providências.
1223,2000,"Fixa os subsídios do Prefeito, do Vice-Prefeito e dos Secretários Municipais do Ipojuca - PE., para os exercícios de 2001 até 2004 e da próxima Legislatura e dá outras providências."
1224,2000,Fixa fixa o subsídio dos vereadores deste município para os exercícios de 2001 até 2004 e da próxima legislatura e dá outras providências.
1225,2000,"Altera dispositivo da Lei n° 1158/98, de 30 de abril de 1998 e dá outras providências."
1226,2000,Dispõe sobre a abertura de Crédito suplementar e de providências correlatas.
1227,2000,Estabelece o chancfélamento do ingressos para os eventos de diverges públicas e dá outras providências.
1228,2000,Estabelece o subsfi|uto tributário do ISS e dá outras providências.
1229,2000,Acrescenta o inciso III artigo 26 da Lei 1.181/98 e dá outras providências.
1230,2000,"Altera dispositivos dos artigos 90 e 100 da Lei 1.181/98, caracteriza, habitação popular e dá outras providências."
1231,2000,"Converte, em moeaa\ vigente, os valores expressos, na legislação municipal e os efeitos dela decorrentes, em Unidade Fiscal de 0 Referência - UFIR e dá outras providencias."
1232,2000,Estima a Receita e fixa Despesas para o exercício financeiro de 2001.
1233,2001,"Fixa o Subsídio dos Secretários Municipais do Ipojuca - PE., para os Exercícios de 2001 até 2004 e dá outras providências."
1234,2001,"Define define a estrutura e organização do poder executivo municipal, dispõe sobre a estrutura e competência das secretarias municipais, e dá outras providências."
1235,2001,Dispõe sobre a verba de apoio ao gabinete do Vereador e dá outras providências.
1236,2001,"Dispõe sobre a estrutura organizacional e reestruturação do quadro de pessoal da Câmara Municipal de Ipojuca - PE., revoga a Lei n° 1.185/9S e dá outras providências."
1237,2001,Dispõe sobre a adequação da Lei Orçamentaria (Lei n° 1232/2001) a nova Estrutura Administrativa do Município (Lei n° 1234/2001).
1238,2001,Cria cria o sistema de mliantamento e dá outras providências.
1239,2001,Reajusta vencimentos de servidores públicos municipal que percebam retribuição inferior ao salário mínimo vigente no País.
1240,2001,"Autoriza autoriza a contratação temporária de pessoal por excepcional interesse público para as funções que especifica, e dá outras providências."
1241,2001,"Cria cria cargos de provimento efetivo na estrutura do poder executivo, e dá outras providências."
1242,2001,"Autoriza autoriza destinação de recursos, para direta ou indiretamente, cobrir necessidades de pessoas físicas."
1243,2001,Dispõe dispõe sobre a criação de cargo no quadro de pessoal do poder executivo municipal.
1244,2001,"Cria cria cargos de provimento efetivo na estrutura do poder executivo, e dá outras providencias."
1245,2001,"Denomina de Rodovia Suzan Cavell, a via pública de acesso às industrias neste município, no KM 12 da PE-60."
1246,2001,"Autoriza a contratação de Professores Alfabetizadores por prazo determinado, para atender a excepcional necessidade do serviço, e dá outras providências."
1247,2001,Dispõe sobre a abertura de Crédito suplementar e de providências correlatas.
1248,2001,Desafeta imóvel de domínio Público e dá outras providências.
1249,2001,"Autoriza autoriza o poder executivo, doar o imóvel que indica."
1250,2001,"Denomina de QUADRA DE ESPORTES OTÁVIO DA CUNHA FERREIRA, a Quadra Poliesportiva localizada na Praça Pedro Serafim de Souza, no Distrito de Camela, neste Município de Ipojuca."
1251,2001,"Denomina denomina de biblioteca pública municipal maria josé pinto, a biblioteca pública da praça afonso luiz soares, no distrito de camela, neste município de ipojuca."
1252,2001,"Denomina de PRAÇA TEREZINHA CAVALCANTI DE ALBUQUERQUE, a Praça localizada na Avenida Dr. Humberto da Costa Soares, em frente ao Colégio Min. Jarbas Passarinho, no Distrito de Camela, neste Município de Ipojuca."
1253,2001,"Denomina denomina de banda marcial maria josé ferreira de oliveira, a banda da escola ministro jarbas passarinho, no distrito de camela, neste município de ipojuca."
1254,2001,"Denomina denomina de biblioteca iranida albuquerque ramos, a biblioteca da escola municipal ministro jarbas passarinho, no distrito de camela, neste município de ipojuca."
1255,2001,Cria o Sistema Municipal de Ensino do Ipojuca e dá outras providências
1256,2001,Altera a composição do Conselho Municipal de Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e de Valorização do Magistério.
1257,2001,"Autoriza o Pbcfer Executivo a declarar património municipal e imunes de corte as árvores consideradas de preservação necessária por sua localização, raridade, beleza ou condição de porta-sementes."
1258,2001,Autoriza alienação de bens inservíveis e dá outras providências.
1259,2001,Altera a composição do Conselho Municipal de Assistência Social - CMAS.
1260,2001,"Denomina denomina de estádio de futebol severino ramos dos reis, o estádio de futebol localizado no loteamento santo antónio, no distrito de camela, neste município de ipojuca."
1260,2001,Dispõe dispõe sobre abertura de~crédito suplementar e de providências correlatas v.
1261,2001,"Institui institui o programa de garantia de renda mínima vinculado à educação - bolsa escola, e determina outras providências."
1262,2001,Criação criação do conselho e fundo municipal dos direitos da pessoa portadora de deficiência.
1263,2001,Disciplina disciplina a concessão de incentivos fiscais aos agentes económicos e dá outras providências.
1264,2001,Dispõe sobre a isenção de taxas e impostos do Plano Arrendamento Residencial PAR.
1265,2003,Altera altera a composição do conselho municipal de promoção dos direitos da criança e do adolescente do município do ipojuca.
1266,2001,Cria cargos comissionados.
1267,2001,Dispõe dispõe sobre abertura de^rédito suplementar e de providências correlatas.
1269,2001,"Estabelece estabelece deveres e atribuições aos cargos de provimento efetivo e comislsionado criados pela lei n° 1236/2001, aumenta a quantidade de vagas dos cargos assessor parlamentar e dá outras providências."
1270,2001,Autoriza autoriza o município de ipojuca conceder a telecomunicações de pernambuco s/a telemar a permissão de uso de bem público e dá outras providências.
1271,2001,Dispõe dispõe sobre as direírizes para a elaboração da lei orçamentaria de 2002 e dá outras providências.
1272,2001,Dispõe dispõe sobre a criação de cargos de provimento em comissão no quadro de pessoal do poder executivo municipal.
1273,2001,"Implanta implanta o programa saúde da família psf no âmbito da administração municipal, e dá outras providências."
1274,2001,Dispõe dispõe sobre a criação de cargo no quadro de pessoal do poder executivo municipal.
1275,2001,Autoriza autoriza a cessão do direito de uso do imóvel que indica e dá outras providências.
1276,2001,Cria cria nome de vila situada no acesso principal à sede do município de ipojuca e dá outras providências.
1277,2001,Dispõe dispõe sobre o plano plurianual do município de ipojuca para o período 2002-2005 e dá outras providências.
1278,2001,Dispõe sobre abertura de Crédito Suplementar e de Providências correlatas.
1279,2001,Cria cria o conselho municipal de desenvolvimento sustentável - cmds.
1280,2001,"Implanta implanta o projeto agente jovem de desenvolvimento social e humano, no âmbito da administração municipal, e dá outras providências."
1281,2001,"Implanta implanta o programa sentinela - projeto resgate, no âmbito da administração municipal, e dá outras providências."
1282,2001,Cria cria nome de rua situada na sede do município de ipojuca e dá outras providências.
1283,2001,Institui institui na rede municipal de ensino a disciplina que trata da história do ipojuca e dá outras providências.
1283,2001,Denomina denomina praça euclides augusto dos santos à praça do convento.
1284,2001,Dispõe sobre a introdução do nome do Nome do Vereador em lei de sua autoria e dá outras providências.
1285,2001,"Dispõe dispõe sobre o plantio, extração, poda, substituição de árvores e dá outras providências."
1286,2001,"Cria o PLANO DE REGULAMENTAÇÃO DA ORLA DO MUNICÍPIO DO IPOJUCA PERNAMBUCO, definindo normas para uso e ocupação do solo na faixa litorânea do Município e Comissão de Análise de Projetos Especiais e/ou de impacto e dá outras providências."
1287,2001,Cria cria nome de praça localizada na sede do município de ipojuca e dá outras providências.
1288,2001,Dispõe dispõe sobre o atendimento de clientes e/ou usuários em estabelecimentos bancários no município de ipojuca.
1290,2001,"Denomina denomina avenida josé soares de medeiros, à via urbana que liga a av. gilvam leôncio marques à pe-60."
1291,2001,Autoriza a Contratação por Tempo Determinado de profissionais para atuarem no âmbito da administração pública municipal.
1293,2001,Cria cria nome de escola localizada na sede do município de ipojuca e dá outras providências.
1294,2001,"Denomina denomina de hospital santo cristo, o hospital localizado na sede do município de ipojuca."
1295,2001,Redefine redefine as divisas interdistritais do município e dá outras providências.
1296,2001,"Dá dá nova redação a dispositivos da lei n.° 1279, de 18 de outubro de 2001."
1297,2001,Vigilância Dispõe sobre a taxa de Sanitária e dá outras providências.
1298,2001,"Concede concede anistia parcial de débitos para a com a fazenda municipal, para débitos inscritos e passíveis de inscrição em dívida ativa e dá outras providências."
1299,2001,"Dispõe sobre a criação do Departamento de Defesa Social, e dá outras providências."
1300,2001,"Aumente a Verba de Gabinete, e dá outras providências."
1301,2001,"Dispõe dispõe sobre o aumento do número de cargos comissionados de assessor parlamentar, símbolo ap-1, na câmara municipal de ipojuca e dá outras providências."
1302,2001,Dispõe dispõe sobre o reajuste dos funcionários efetivos e comissionados da câmara municipal de ipojuca.
1304,2001,"Acrescenta acrescenta parágrafo único no artigo 2.° da lei n.° 1.263/01, e dá outras providências."
